   ,   10,    20,    30,    40,    50,    60,    70,    80,    90,   100, 
100,   18,    37,    68,    94,   113,   129,   140,   149,   154,   158, 
150,   34,    51,   101,   161,   212,   255,   293,   324,   350,   369, 
200,   55,    68,   124,   214,   311,   396,   473,   542,   602,   653, 
250,   81,    92,   143,   250,   389,   531,   661,   781,   890,   987, 
300,  112,   121,   166,   276,   443,   639,   836,  1021,  1192,  1350, 
500,  286,   288,   315,   398,   562,   834,  1207,  1657,  2155,  2674, 

   ,   10,    20,    30,    40,    50,    60,    70,    80,    90,   100, 
100,   43,    94,   153,   200,   232,   257,   272,   283,   288,   292, 
150,   99,   173,   328,   473,   598,   694,   774,   833,   880,   912, 
200,  195,   274,   525,   843,  1139,  1394,  1607,  1791,  1936,  2061, 
250,  341,   412,   735,  1250,  1813,  2331,  2789,  3187,  3534,  3830, 
300,  546,   605,   962,  1665,  2543,  3446,  4272,  5023,  5685,  6277, 
500, 2156,  2168,  2443,  3444,  5371,  8150, 11468, 15046, 18651, 22140, 
